2021-05-12T01:17:35.108473800+03:00[Europe/Bucharest],Loaded data
2021-05-12T01:17:44.059487500+03:00[Europe/Bucharest],Added products to user
2021-05-12T01:17:59.274563800+03:00[Europe/Bucharest],Created order
2021-05-12T01:18:08.997746100+03:00[Europe/Bucharest],Retrieved order status
2021-05-12T01:18:34.429319400+03:00[Europe/Bucharest],Added products to user
2021-05-12T01:18:49.425374900+03:00[Europe/Bucharest],Created order
2021-05-12T01:18:52.155475400+03:00[Europe/Bucharest],Saved data
2021-05-12T01:19:26.099274100+03:00[Europe/Bucharest],Saved data
2021-05-12T01:19:39.852549500+03:00[Europe/Bucharest],Assigned driver to order
2021-05-12T01:19:42.235914400+03:00[Europe/Bucharest],Saved data
2021-05-12T01:20:05.749279+03:00[Europe/Bucharest],Cancel order
2021-05-12T01:20:07.867591800+03:00[Europe/Bucharest],Saved data
2021-05-12T01:20:26.746622600+03:00[Europe/Bucharest],Completed order
2021-05-12T01:20:28.758472600+03:00[Europe/Bucharest],Saved data
2021-05-12T01:20:37.494287300+03:00[Europe/Bucharest],Saved data
